key,en,ru,kz,id,de
no,No,Нет,Жоқ,Tidak,Nein
here_suggested_tasks,Here are suggested tasks:,Вот предлагаемые задачи:,Ұсынылған тапсырмалар мінекей: ,Berikut tugas yang disarankan:,hier_vorgeschlagene_Aufgaben
missing_details,"Okay, fill in missing details:","Хорошо, заполните недостающие детали:","Жарайды, жетпеген детальдарды жаза кетіңіз","Oke, isi bagian yang hilang","Okay, ergänzen Sie die fehlenden Details:"
task,Task,Задача,Тапсырма,Tugas,Aufgabe
task_title,Task title,Название задачи,Тапсырма атауы,Judul tugas,Aufgabentitel
task_assignee,Assignee,Исполнитель,Орындаушы,Penerima tugas,Zuständiger
task_type,Task type,Тип задачи,Тапсырма түрі,Jenis tugas,Aufgabentyp
task_duedate,Due date,Дата завершения,Аяқталуы керек күн,Tenggat waktu,Erfüllungsdatum
task_type_personal,Personal,Личная,Жеке,Pribadi,Persönliche
task_type_project,Project,Проектная,Жобалар,Proyek,Projekt
task_type_plans,Plans,Плановая,Жоспарлар,Rencana,Pläne
task_create,Create,Создать,Жасау,Buat,Erstellen
task_cancel,Сancel,Закрыть,Бас тарту,Batalkan,Abbrechen
task_details,Go to details,Перейти к деталям,Детальдарын көріңіз,Pergi ke details,Weiter zu den Details
response_doc_search,"Hey there, Alidar! Which document are you looking for?","Привет, Алидар! Какой документ вы ищите?","Сәлем, Әлидар! Қандай құжат керек?","Hi, Alidar! Dokumen mana yang Anda inginkan?","Hallo, Alidar! Welches Dokument brauchen Sie?"
response_doc_search_answer_1,"Based on your search for ""..."", here are the relevant documents:","Вот соответвующие документ по запросу ""..."":","""..."" іздегеніңіз бойынша мына құжаттарды таптық:","Berdasarkan pencarian Anda untuk ""..."", berikut adalah dokumen yang relevan:","Ausgehend von Ihrer Suche nach ""..."" finden Sie hier die relevanten Dokumente:"
response_doc_search_answer_2,Searching your documents...,Ищу ваши документы...,Құжатыңызды іздеп жатырмын...,Saya mencari dokumen mengenai permintaan Anda...,Ich suche nach Dokumenten zu Ihrer Anfrage...
document_download,Download,Скачать,Жүктеу,Unduh,Herunterladen
document_view,View in Drive,Посмотреть на Диске,Drive-те көру,Liat di Drive,Ansicht im Laufwerk
goodbye_other_intents,Sad to see you go. Perhaps you could explore other options?,"Жаль, что вы уходите. Может, попробуете изучить другие запросы?",Кетіп бара жатқаныңыз өкінішті. Бәлкім басқа нәрсе байқап көрсеіз?,Sedih melihatmu pergi. Mungkin Anda mencoba maksud lain?,"Schade, dass Sie gehen. Vielleicht versuchen Sie andere Absichten?"
create_task_button,Create a task,Создать задачу,Тапсырма бастау,Buat tugas,Aufgabe erstellen
meeting_summary_button,Meeting summary,Резюме встречи,Кездесу мазмұны ,Ringkasan meeting,Zusammenfassung der Besprechung
find_document_button,Find a document,Найти документ,Құжат табу,Temukan dokumen,Dokument finden
create_meeting_button,Create a meeting,Создать встречу,Кездесу ұйымдастыру,Buat jadwal meeting,Besprechung erstellen
personal_assistant_initial_text,"Hi there! I'm DAR Vis — your virtual AI assistant in the darlean ecosystem. I'm here to automate your daily tasks, save time and increase your efficiency. Stay tuned for updates and explore available commands now! ","Привет! Я ДАР Вис — ваш виртуальный ИИ-ассистент в экосистеме darlean. Моя задача — автоматизировать вашу ежедневные задачи, сэкономить время и повысить эффективность. Следите за обновлениями и изучайте доступные команды уже сейчас!","Сәлем! Мен DAR Vis - darlean экожүйесіндегі ЖИ көмекшіңізбін. Менің мақсатым - күнтәртібіңізді автоматтандырып, уақытыңызды үнемдеп, өнімді жұмыс істеуіңізге жағдай жасау. Жаңартуларымыздан хабардар болып, қолжетімді командаларды дәл қазір қолданып көріңіз. ","Hallo! Saya DAR Vis — asisten AI virtual Anda di ekosistem Darlean. Saya di sini untuk mengotomatiskan tugas harian Anda, menghemat waktu, dan meningkatkan efisiensi Anda. Nantikan pembaruan dan jelajahi perintah yang tersedia sekarang!","Hallo! Ich bin DAR Vis - Ihr virtueller KI-Assistent im DAR Lean Ökosystem. Mein Ziel ist es, Ihre tägliche Routine zu automatisieren, Zeitverschwendung zu minimieren und Ihre Effizienz zu optimieren. Jeden Tag lerne ich etwas Neues von Ihnen. Bleiben Sie bitte dran und probieren Sie die verfügbaren Funktionen aus.
"
corporate_secretary_initial_text,"Hi there! I'm DAR Vis — your virtual AI assistant in the darlean ecosystem. I'm here to automate your daily tasks, save time and increase your efficiency. Stay tuned for updates and explore available commands now! ","Привет! Я ДАР Вис — ваш виртуальный ИИ-ассистент в экосистеме darlean. Моя задача — автоматизировать вашу ежедневные задачи, сэкономить время и повысить эффективность. Следите за обновлениями и изучайте доступные команды уже сейчас!","Сәлем! Мен DAR Vis - darlean экожүйесіндегі ЖИ көмекшіңізбін. Менің мақсатым - күнтәртібіңізді автоматтандырып, уақытыңызды үнемдеп, өнімді жұмыс істеуіңізге жағдай жасау. Жаңартуларымыздан хабардар болып, қолжетімді командаларды дәл қазір қолданып көріңіз. ","Hallo! Saya DAR Vis — asisten AI virtual Anda di ekosistem Darlean. Saya di sini untuk mengotomatiskan tugas harian Anda, menghemat waktu, dan meningkatkan efisiensi Anda. Nantikan pembaruan dan jelajahi perintah yang tersedia sekarang!","Hallo! Ich bin DAR Vis - Ihr virtueller KI-Assistent im DAR Lean Ökosystem. Mein Ziel ist es, Ihre tägliche Routine zu automatisieren, Zeitverschwendung zu minimieren und Ihre Effizienz zu optimieren. Jeden Tag lerne ich etwas Neues von Ihnen. Bleiben Sie bitte dran und probieren Sie die verfügbaren Funktionen aus.
"
personal_assistant_title,Personal Assistant,Личный помощник,Жеке көмекші-агент,Asisten pribadi,Persönlicher Assistent
personal_assistant_description,Optimize your meetings and task management with our personal assistant. Enjoy meeting summaries and the ability to create tasks quickly,Оптимизируйте свои встречи и управление задачами с помощью нашего личного помощника. Наслаждайтесь резюме встреч и быстрым созданием задач.,Жеке көмекші-агент жәрдемімен кездесулеріңіз бен тапсырмаларды басқаруды оңтайландырыңыз. Кездесу мазмұны мен оңай кездесу ұйымдастыру мүмкіндіктерінің рахатын көріңіз. ,Optimalkan rapat dan manajemen tugas Anda dengan asisten pribadi kami. Nikmati ringkasan rapat dan kemampuan membuat tugas dengan cepat,"Optimieren Sie Ihre Besprechungen und Ihr Aufgabenmanagement mit unserem persönlichen Assistenten, der Besprechungszusammenfassungen und die Erstellung von Aufgaben bietet."
corporate_secretary_title,Corporate secretary,Корпоративный секретарь,Корпоратив хатшы,Sekretaris Perusahaan,Sekretärin des Unternehmens
corporate_secretary_description,Find any document within your system using the contextual search provided by our personal assistant. This feature enables document interaction through an interactive chat. ,Находите любой документ в вашей системе с помощью контекстного поиска нашего личного помощника-агента. Он позволит взаимодействовать с документами в интерактивном чате,Жеке көмекші-агентіміздің контекст іздеуінің жәрдемімен жүйеңіздегі кез келген құжатты табыңыз. Құжаттарыңызбен интерактив чатта жұмыс істеуге мүмкіндік береді. ,Temukan dokumen apa pun dalam sistem Anda menggunakan pencarian kontekstual yang disediakan oleh asisten pribadi kami. Fitur ini memungkinkan interaksi dokumen melalui obrolan interaktif.,"Finden Sie jedes beliebige Dokument in Ihrem System mit Hilfe der kontextbezogenen Suche, die unser persönlicher Assistent bietet. Diese Funktion ermöglicht die Interaktion mit Dokumenten über einen interaktiven Chat."
tap_on_command,Click on the command,Нажмите на команду,Команданы басыңыз,Klik pada perintah,Klicken Sie auf den Befehl
here_is_your_meeting,Here is your meeting,Вот ваша встреча,Кездесуіңіз басталып жатыр,Berikut meeting Anda,Hier ist Ihre Besprechung
error_rag_documents_not_found,No documents found for your request,Документы по вашему запросу не найдены,Сіз іздеген құжат табылмады,Tidak ada dokumen yang ditemukan dari pencarian Anda,Keine Dokumente zu Ihrer Anfrage gefunden
specify_which_meeting_from_several_options,Specify the meeting,Укажите встречу,Кездесу анықтамасын жазыңыз,Tentukan detil meetingnya,Geben Sie die Besprechung an
suggest_tasks_after_meeting_summary,Would you like to receive tasks related to this meeting?,Желаете получить задачи по этому митингу?,Осы кездесу бойынша тапсырмалар алғыңыз келе ме?,Apakah Anda ingin menerima tugas yang terkait dengan pertemuan ini?,Möchten Sie Aufgaben im Zusammenhang mit dieser Besprechung erhalten?
suggested_tasks,Here are the suggested tasks:,Вот предлагаемые задачи:,Ұсынылған тапсырмалар мінекей: ,Berikut adalah tugas yang disarankan:,Hier sind die vorgeschlagenen Aufgaben:
here_are_the_task_you_asked_for,Here is the task you requested,"Вот задача, которые вы попросили",Сіз сұраған тапсырма мінекей,Inilah tugas yang Anda minta,Hier ist die von Ihnen angeforderte Aufgabe
try_again_later,It appears there was an error in processing your request. Please try again later,"Похоже, при обработке вашего запроса возникла какая-то ошибка. Попробуйте позже.",Сұранысыңызды іздеп жатқанда қате табылған сыңайлы. Кейін қайта көріңіз,Tampaknya ada kesalahan dalam memproses permintaan Anda. Silakan coba lagi nanti,Es scheint ein Fehler bei der Bearbeitung Ihrer Anfrage aufgetreten zu sein. Bitte versuchen Sie es später noch einmal
empty_array,You do not have such tasks,У вас нет таких задач,Ондай тапсырмаңыз жоқ,Anda tidak memiliki tugas seperti itu,Sie haben solche Aufgaben nicht
my_tasks_status_button,My task status,Статус моих задач,Тапсырмамның статусы,Status tugas saya,Mein Aufgabenstatus
what_can_i_do_more_for_you,What else can I do for you?,Что я могу еще сделать для вас?,Басқа не істей аламын?,Apa lagi yang bisa saya lakukan untuk Anda?,Was kann ich noch für Sie tun?
task_type_personal,Personal,Личный,Жеке,Personal,Persönlich
task_type_project,Project,Проект,Жоба,Proyek,Projekt
task_type_plan,Plan,План,Жоспар,Rencana,Plan
task_label,Task,Задача,Тапсырма,Tugas,Aufgabe
assignee_label,Assignee,Исполнитель,Орындаушы,Penerima tugas,Zuständiger
type_label,Type,Тип,Түрі,Tipe,Typ
end_date_label,End date,Дата окончания,Аяқталатын уақыты,Tanggal akhir,Endddatum
priority_label,Priority,Приоритет,Басымдық,Prioritas,Priorität
priority_low,Low,Низкий,Төмен,Rendah,Niedrig
priority_medium,Medium,Средний,Орта,Sedang,Mittel
priority_high,High,Высокий,Жоғары,Tinggi,Hoch
number_of_tasks,The number of tasks you have requested:,Количество запрошенных вами задач: ,Сіз сұраған тапсырмалар саны:,Jumlah tugas yang Anda minta:,"Die Anzahl der Aufgaben, die Sie angefordert haben:"
status_label,Status,Статуc,Статуc,Status,Status
status_todo,To Do,Новая,Жаңа,To Do,Zu erledigen
status_inprogress,In Progress,В работе,Қаралып жатыр,In Progress,In Bearbeitung
status_check,Check,На проверке,Тексеріліп жатыр,Check,In Überprüfung
status_done,Done,Завершена,Аяқталды,Done,Abgeschlossen
status_cancel,Cancel,Отменена,Тоқтатылды,Batal,Abgebrochen
