"key","en","ru","kz","id","de","env","project"
"corporate_secretary_description","Find any document within your system using the contextual search provided by our personal assistant. This feature enables document interaction through an interactive chat. ","Находите любой документ в вашей системе с помощью контекстного поиска нашего личного помощника-агента. Он позволит взаимодействовать с документами в интерактивном чате","Жеке көмекші-агентіміздің контекст іздеуінің жәрдемімен жүйеңіздегі кез келген құжатты табыңыз. Құжаттарыңызбен интерактив чатта жұмыс істеуге мүмкіндік береді. ","Temukan dokumen apa pun dalam sistem Anda menggunakan pencarian kontekstual yang disediakan oleh asisten pribadi kami. Fitur ini memungkinkan interaksi dokumen melalui obrolan interaktif.","Finden Sie jedes beliebige Dokument in Ihrem System mit Hilfe der kontextbezogenen Suche, die unser persönlicher Assistent bietet. Diese Funktion ermöglicht die Interaktion mit Dokumenten über einen interaktiven Chat.","BE","Bot"
"input_box","Type your message here...","Введите ваше сообщение здесь...","Хабарламаңызды мұнда теріңіз...","Ketik pesan Anda di sini...","Geben Sie hier Ihre Nachricht ein...","FE","Bot"
"task_details","Go to details","Перейти к деталям","Детальдарын көріңіз","Pergi ke details","Weiter zu den Details","FE","Bot"
"feedback_thanks","Thank you for your feedback!","Спасибо за ваш отзыв!","Пікіріңіз үшін рахмет!","Terima kasih atas masukan Anda!","Danke für Ihr Feedback!","FE","Bot"
"not_authenticated","You are not authenticated","Вы не аутентифицированы","Сіз аутентификацияланған жоқсыз","Anda tidak diautentikasi","Sie sind nicht authentifiziert","FE","Bot"
"bot","Bot","Бот","Бот","Bot","Bot","BE","Bot"
"intent_create_task","Create task","Создать задачу","Тапсырма бастау","Buat Tugas","Aufgabe erstellen","BE","Bot"
"intent_meeting_summary","Meeting summary","Резюме встречи","Кездесу мазмұны","Ringkasan Pertemuan","Besprechungszusammenfassung","BE","Bot"
"intent_create_meeting","Create meeting","Создать встречу","Кездесу ұйымдастыру","Membuat pertemuan","Meeting erstellen","BE","Bot"
"my_tasks_status_button","My task status","Статус моих задач","Тапсырмамның статусы","Status tugas saya","Mein Aufgabenstatus","BE","Bot"
"intent_find_document","Find document","Найти документ","Құжат табу","Cari Dokumen","Dokument finden","BE","Bot"
"empty_field_note","Field cannot be empty","Поле не может быть пустым","Өріс бос болмауы керек","Kolom tidak boleh kosong","Feld darf nicht leer sein","BE","Bot"
"task","Task","Задача","Тапсырма","Tugas","Aufgabe","BE","Bot"
"task_assignee","Assignee","Исполнитель","Орындаушы","Penerima tugas","Zuständiger","BE","Bot"
"task_type","Task type","Тип задачи","Тапсырма түрі","Jenis tugas","Aufgabentyp","BE","Bot"
"task_type_personal","Personal","Личная","Жеке","Pribadi","Persönliche","BE","Bot"
"task_type_project","Project","Проектная","Жобалар","Proyek","Projekt","BE","Bot"
"task_type_plans","Plans","Плановая","Жоспарлар","Rencana","Pläne","BE","Bot"
"task_duedate","Due date","Дата завершения","Аяқталуы керек күн","Tenggat waktu","Erfüllungsdatum","BE","Bot"
"priority_label","Priority","Приоритет","Басымдық","Prioritas","Priorität","BE","Bot"
"priority_low","Low","Низкий","Төмен","Rendah","Niedrig","BE","Bot"
"priority_medium","Medium","Средний","Орта","Sedang","Mittel","BE","Bot"
"priority_high","High","Высокий","Жоғары","Tinggi","Hoch","BE","Bot"
"task_cancel","Сancel","Закрыть","Бас тарту","Batalkan","Abbrechen","BE","Bot"
"suggested_tasks","Would you like to receive AI task suggestions based on this meeting?","Хотели бы вы получить предложения задач от ИИ на основе этой встречи?","Бұл кездесу негізінде ЖІ жүйесінен тапсырма ұсыныстарын алғыңыз келе ме?","Apakah Anda ingin menerima saran tugas AI berdasarkan pertemuan ini?","Möchten Sie auf Basis dieses Meetings AI-gestützte Aufgabenvorschläge erhalten?","BE","Bot"
"hey_there","Hey there! I'm DAR Vis, your virtual AI assistant in the DAR Lean Ecosystem. My goal is to automate your daily tasks, save you time, and boost efficiency. Stay tuned and explore available commands.","Привет! Я DAR Vis, ваш виртуальный AI-помощник в экосистеме DAR Lean. Моя цель - автоматизировать ваши ежедневные задачи, экономить ваше время и повышать эффективность. Оставайтесь на связи и исследуйте доступные команды.","Сәлем! Мен DAR Lean Экожүйесіндегі виртуалды AI көмекшіңіз DAR Visпін. Менің мақсатым - күнделікті тапсырмаларыңызды автоматтандыру, уақытты үнемдеу және тиімділікті арттыру. Жаңа командаларды зерттеуге дайын болыңыз.","Hallo! Ich bin DAR Vis, dein virtueller AI-Assistent im DAR Lean Ökosystem. Mein Ziel ist es, deine täglichen Aufgaben zu automatisieren, dir Zeit zu sparen und die Effizienz zu steigern. Bleib dran und erkunde verfügbare Befehle.","Hai! Saya DAR Vis, asisten AI virtual Anda di Ekosistem DAR Lean. Tujuan saya adalah untuk mengotomatisasi tugas harian Anda, menghemat waktu Anda, dan meningkatkan efisiensi. Tetaplah berinteraksi dan jelajahi perintah yang tersedia.","BE","Bot"
"request_error","Seems like there was an issue processing your request. Please try again.","Похоже, при обработке вашего запроса возникла какая-то ошибка. Попробуйте позже.","Сұранысыңызды орындап жатқанда қате табылған сияқты. Қайта көріңізші. ","Ups! 🛠️ Sepertinya ada masalah saat memproses permintaan Anda. Silakan coba lagi.","Oops! 🛠️ Es scheint ein Problem bei der Bearbeitung Ihrer Anfrage gegeben zu haben. Bitte versuchen Sie es erneut.","BE","Bot"
"input_error","We couldn't understand your request. Make sure to use valid characters and try again.","Мы не смогли понять ваш запрос. Убедитесь, что используете допустимые символы и попробуйте позднее","Сұранысыңызды түсіне алмадық. Рұқсат етілген символдарды қолданып, қайта көруіңізді сұраймыз. ","Maaf, Kami tidak dapat memahami masukan Anda. Pastikan untuk menggunakan karakter yang benar dan coba lagi.","Es tut uns leid, wir konnten Ihre Anfrage nicht verstehen. Verwenden Sie bitte gültige Zeichen und versuchen Sie es erneut.","BE","Bot"
"response_meeting_summary","Thanks for the clarification! Here is a summary of the meeting:","Спасибо за уточнение! Вот резюме встречи","Нақтылағаныңызға рахмет! Кездесу хаттамасы мінекей:","Terima kasih atas klarifikasinya! Berikut adalah ringkasan pertemuan tersebut:","Vielen Dank für die Aufklärung! Hier ist eine Besprechungszusammenfassung:","BE","Bot"
"here_suggested_tasks","Here are suggested tasks:","Вот предлагаемые задачи:","Ұсынылған тапсырмалар мінекей: ","Berikut tugas yang disarankan:","hier_vorgeschlagene_Aufgaben","BE","Bot"
"missing_details","Okay, fill in missing details:","Хорошо, заполните недостающие детали:","Жарайды, жетпеген детальдарды жаза кетіңіз","Oke, isi bagian yang hilang","Okay, ergänzen Sie die fehlenden Details:","BE","Bot"
"what_can_i_do_more_for_you","What can I do for you?","Что я могу сделать для вас?","Басқа не істей аламын?","Apa lagi yang bisa saya lakukan untuk Anda?","Was kann ich noch für Sie tun?","BE","Bot"
"response_doc_search","Hey there! Which document are you looking for?","Привет! Какой документ вы ищите?","Сәлем! Қандай құжат керек?","Hi! Dokumen mana yang Anda inginkan?","Hallo, Alidar! Welches Dokument brauchen Sie?","BE","Bot"
"response_doc_search_answer_1","Based on your search for ""..."", here are the relevant documents:","Вот соответвующие документ по запросу ""..."":","""..."" іздегеніңіз бойынша мына құжаттарды таптық:","Berdasarkan pencarian Anda untuk ""..."", berikut adalah dokumen yang relevan:","Ausgehend von Ihrer Suche nach ""..."" finden Sie hier die relevanten Dokumente:","BE","Bot"
"response_doc_search_answer_2","Searching your documents...","Ищу ваши документы...","Құжатыңызды іздеп жатырмын...","Saya mencari dokumen mengenai permintaan Anda...","Ich suche nach Dokumenten zu Ihrer Anfrage...","BE","Bot"
"document_download","Download","Скачать","Жүктеу","Unduh","Herunterladen","BE","Bot"
"document_view","View in Drive","Посмотреть на Диске","Drive-те көру","Liat di Drive","Ansicht im Laufwerk","BE","Bot"
"goodbye_other_intents","Sad to see you go. Perhaps you could explore other options?","Жаль, что вы уходите. Может, попробуете изучить другие запросы?","Кетіп бара жатқаныңыз өкінішті. Бәлкім басқа нәрсе байқап көрсеіз?","Sedih melihatmu pergi. Mungkin Anda mencoba maksud lain?","Schade, dass Sie gehen. Vielleicht versuchen Sie andere Absichten?","BE","Bot"
"tap_on_command","Click on the command","Нажмите на команду","Команданы басыңыз","Klik pada perintah","Klicken Sie auf den Befehl","BE","Bot"
"here_is_your_meeting","Here is your meeting:","Вот ваша встреча:","Кездесуіңіз басталып жатыр:","Berikut meeting Anda:","Hier ist Ihre Besprechung:","BE","Bot"
"error_rag_documents_not_found","No documents found for your request","Документы по вашему запросу не найдены","Сіз іздеген құжат табылмады","Tidak ada dokumen yang ditemukan dari pencarian Anda","Keine Dokumente zu Ihrer Anfrage gefunden","BE","Bot"
"specify_which_meeting_from_several_options","Specify the meeting","Укажите встречу","Кездесу анықтамасын жазыңыз","Tentukan detil meetingnya","Geben Sie die Besprechung an","BE","Bot"
"suggest_tasks_after_meeting_summary","Would you like to receive tasks related to this meeting?","Желаете получить задачи по этому митингу?","Осы кездесу бойынша тапсырмалар алғыңыз келе ме?","Apakah Anda ingin menerima tugas yang terkait dengan pertemuan ini?","Möchten Sie Aufgaben im Zusammenhang mit dieser Besprechung erhalten?","BE","Bot"
"suggested_tasks","Here are the suggested tasks:","Вот предлагаемые задачи:","Ұсынылған тапсырмалар мінекей: ","Berikut adalah tugas yang disarankan:","Hier sind die vorgeschlagenen Aufgaben:","BE","Bot"
"here_are_the_task_you_asked_for","Here is the task you requested:","Вот задача, которые вы попросили:","Сіз сұраған тапсырма мінекей:","Inilah tugas yang Anda minta:","Hier ist die von Ihnen angeforderte Aufgabe:","BE","Bot"
"try_again_later","It appears there was an error in processing your request. Please try again later","Похоже, при обработке вашего запроса возникла какая-то ошибка. Попробуйте позже.","Сұранысыңызды іздеп жатқанда қате табылған сыңайлы. Кейін қайта көріңіз","Tampaknya ada kesalahan dalam memproses permintaan Anda. Silakan coba lagi nanti","Es scheint ein Fehler bei der Bearbeitung Ihrer Anfrage aufgetreten zu sein. Bitte versuchen Sie es später noch einmal","BE","Bot"
"empty_array","You do not have those tasks ","У вас нет таких задач","Ондай тапсырмаңыз жоқ","Anda tidak memiliki tugas seperti itu","Sie haben solche Aufgaben nicht","BE","Bot"
"what_can_i_do_more_for_you","What else can I do for you?","Что я могу еще сделать для вас?","Басқа не істей аламын?","Apa lagi yang bisa saya lakukan untuk Anda?","Was kann ich noch für Sie tun?","BE","Bot"
"number_of_tasks","The number of tasks you have requested:","Количество запрошенных вами задач: ","Сіз сұраған тапсырмалар саны:","Jumlah tugas yang Anda minta:","Die Anzahl der Aufgaben, die Sie angefordert haben:","BE","Bot"
"status_label","Status","Статуc","Статуc","Status","Status","BE","Bot"
"status_todo","To Do","Новая","Жаңа","To Do","Zu erledigen","BE","Bot"
"status_inprogress","In Progress","В работе","Қаралып жатыр","In Progress","In Bearbeitung","BE","Bot"
"status_check","Check","На проверке","Тексеріліп жатыр","Check","In Überprüfung","BE","Bot"
"status_done","Done","Завершена","Аяқталды","Done","Abgeschlossen","BE","Bot"
"status_cancel","Cancel","Отменена","Тоқтатылды","Batal","Abgebrochen","BE","Bot"
"meeting_title","Meeting title","Название встречи","Кездесудің атауы","Judul Pertemuan","Titel des Meetings","BE","Bot"
"meeting_participants","Meeting participants","Участники встречи","Кездесуге қатысушылар","Peserta Pertemuan","Teilnehmer des Meetings","BE","Bot"
"meeting_date","Meeting date","Дата встречи","Кездесудің күні","Tanggal Pertemuan","Datum des Meetings","BE","Bot"
"start_time","Start time","Время начала","Басталу уақыты","Waktu Mulai","Startzeit","BE","Bot"
"end_time","End time","Время окончания","Аяқталу уақыты","Аяқталу уақыты","Endzeit","BE","Bot"
"cancelled_result","Cancelled!","Отменено!","Болдырмау!","Dibatalkan!","Abgesagt!","BE","Bot"
"no_meeting_summary_recorded","We don't have any recorded meetings with transcriptions from your calendar so far. Turn on subtitles feature on your meeting and then you will have a summary recorded.","Пока в вашем календаре нет записанных встреч с транскрипциями. Включите функцию субтитров на вашей встрече, и тогда будет записано резюме.","Әзірге сіздің күнтізбеңізде транскрипцияланған жазылған кездесулер жоқ. Кездесу кезінде субтитр мүмкіндігін қосыңыз, сонда қысқаша жазба жасалады.","Kami belum memiliki rapat yang direkam dengan transkripsi dari kalender Anda sejauh ini. Aktifkan fitur subtitle pada pertemuan Anda, dan Anda akan memiliki rangkuman yang direkam.","Wir haben bisher keine aufgezeichneten Meetings mit Transkriptionen aus Ihrem Kalender. Aktivieren Sie die Untertitelfunktion bei Ihrem Meeting, und dann wird eine Zusammenfassung aufgezeichnet.","BE","Bot"
"insufficient_funds","You have insufficient funds on your workspace balance to use Bot. Please explore how to top up your balance in the instruction: (link)","На балансе вашего рабочего пространства недостаточно средств для использования бота. Пожалуйста, ознакомьтесь с инструкцией по пополнению баланса: (ссылка).","Сіздің жұмыс орныңыздың балансында Bot-ты пайдалану үшін жеткіліксіз қаражат бар. Балансты қалай толтыру керектігі туралы нұсқаулықпен танысыңыз: (сілтеме).","Saldo di tempat kerja Anda tidak cukup untuk menggunakan Bot. Silakan jelajahi cara mengisi ulang saldo Anda dalam instruksi: (link).","Auf dem Guthaben Ihres Arbeitsbereichs sind unzureichende Mittel für die Nutzung des Bots vorhanden. Bitte erkunden Sie, wie Sie Ihr Guthaben aufladen können, in der Anleitung: (link).","BE","Bot"
"sufficient_funds","Your workspace balance has been topped up to use Bot.","Баланс вашего рабочего пространства был пополнен для использования бота.","Жұмыс орныңыздың балансы ботты пайдалану үшін толтырылды.","Saldo area kerja Anda telah diisi ulang untuk menggunakan Bot.","Ihr Arbeitsbereichsguthaben wurde aufgeladen, um den Bot zu nutzen.","BE","Bot"
"remove_member","Remove member","Удалить участника","Қатысушыны өшіру","Hapus anggota","Mitglied löschen","FE","Chat"
"chat_start_message","Tap on Direct Chats or DAR Vis Bot to start conversation","Нажмите на Личные Сообщения или бота ДАР Вис, чтобы начать диалог","Диалог бастау үшін Жеке хабарламалар немесе DAR Vis бот батырмасын басыңыз ","Ketuk Obrolan Langsung atau DAR Vis Bot untuk memulai percakapan","Tippen Sie auf Direct Chats oder DAR Vis Bot, um ein Gespräch zu beginnen.","FE","Chat"
"message_one","Message","Сообщение","Хат","Pesan","Nachricht","FE","Chat"
"message_plural","Messages","Сообщения","Хат","Pesan","Nahrichren","FE","Chat"
"permanently_delete_question","Permanently delete this message?","Удалить это сообщение навсегда?","Осы хатты түбегейлі өшіріп тастағыңыз келе ме?","Hapus pesan ini secara permanen?","Diese Nachricht endgültig löschen?","FE","Chat"
"action_invite","Invite","Пригласить","Шақыру","Undang","Einladen","FE","Chat"
"no_results","No matches","Нет совпадений","Табылмады","Tidak ada yang cocok","Keine Übereinstimmungen","FE","Chat"
"enter_name","Enter name","Введите название","Атауын жазыңыз","Masukkan nama","Geben Sie den Namen ein","FE","Chat"
"select_users","Select users","Выберите пользователей","Қолданушыны таңдаңыз","Pilih pengguna","Benutzer auswählen","FE","Chat"
"channel_created","Channel created","Канал создан","Арна ашылды","Channel dibuat","Kanal erstellt","FE","Chat"
"channel_owner","Channel owner","Владелец канала","Арна иесі","Pemilik channel","Eigentümer des Kanals","FE","Chat"
