key,en,ru,kz,id,de
channel_info,Channel info,Информация о канале,Арна туралы ақпарат,Informasi Channel,Kanal-Info
edit,Edit ,Изменить,Өзгерту,Sunting,Bearbeiten
mute,Mute,Без звука,Хабарландыруды өшіру,Bisu,Stummschalten
seach_global,Search,Поиск,Іздеу,Cari,Suche
more,More,Ещё,Тағы,Lebih banyak,Mehr
add_members_to_channel,Add Members,Добавить участников,Қатысушылар қосу,Tambah Anggota,Mitglieder hinzufügen
owner,Owner,Владелец,Иесі,Pemilik,Eigentümer
admin,Admin,Админ,Админ,Admin,Administrator
members,Members,Участники,Қатысушылар ,Anggota,Mitglieder
media,Media,Медиа,Медиа,Media,Medien
files,Files,Файлы,Файлдар,File,Dateien
links,Links,Ссылки,Сілтемелер,Tautan,Links
actions,Actions,Действия,Әрекет,Tindakan,Aktionen
clear_messages,Clear Messages,Очистить сообщения,Хабарламаларды тазарту,Hapus Pesan,Nachrichten löschen
leave_channel,Leave Channel,Покинуть канал,Арнадан шығу,Meninggalkan Channel,Kanal verlassen
edit_photo,Edit Photo,Изменить фото,Суретті өзгерту,Sunting Foto,Bild bearbeiten
done,Done,Готово,Дайын,Selesai,Fertig
cancel,Cancel,Закрыть,Жабу,Batalkan,Abbrechen
view_profile,View profile,Посмотреть профиль ,Профильді қарау,Liat Profil,Profil ansehen
